attempt,val_macro_f1,w_config-resnet,w_config-efficientnet,w_config-convnext
143,0.7929095029830933,0.4,0.1,0.5
144,0.7946766018867493,0.4,0.15,0.45
145,0.7950922250747681,0.4,0.2,0.4
146,0.7930508852005005,0.4,0.25,0.35
147,0.793124258518219,0.4,0.3,0.3
148,0.7938782572746277,0.4,0.35,0.25
149,0.7930963039398193,0.4,0.4,0.2
150,0.7925890684127808,0.4,0.45,0.15
151,0.7921106219291687,0.4,0.5,0.1
152,0.7898830771446228,0.4,0.55,0.05
153,0.7890756130218506,0.4,0.6,0.0
154,0.7871758341789246,0.45,0.0,0.55
155,0.7891348004341125,0.45,0.05,0.5
156,0.7904881238937378,0.45,0.1,0.45
157,0.7918564677238464,0.45,0.15,0.4
158,0.7925590872764587,0.45,0.2,0.35
159,0.792852520942688,0.45,0.25,0.3
160,0.7917462587356567,0.45,0.3,0.25
161,0.7917349338531494,0.45,0.35,0.2
162,0.7915912866592407,0.45,0.4,0.15
163,0.7901588082313538,0.45,0.45,0.1
164,0.7878868579864502,0.45,0.5,0.05
165,0.7886886596679688,0.45,0.55,0.0
166,0.7868775725364685,0.5,0.0,0.5
167,0.7894866466522217,0.5,0.05,0.45
168,0.7896730303764343,0.5,0.1,0.4
169,0.79034823179245,0.5,0.15,0.35
170,0.7918623089790344,0.5,0.2,0.3
171,0.7906065583229065,0.5,0.25,0.25
172,0.7915494441986084,0.5,0.3,0.2
173,0.7914791703224182,0.5,0.35,0.15
174,0.7895330190658569,0.5,0.4,0.1
175,0.7874155044555664,0.5,0.45,0.05
176,0.7872047424316406,0.5,0.5,0.0
177,0.7870413064956665,0.55,0.0,0.45
178,0.7877644300460815,0.55,0.05,0.4
179,0.7878382205963135,0.55,0.1,0.35
180,0.7902976870536804,0.55,0.15,0.3
181,0.7899889349937439,0.55,0.2,0.25
182,0.7897804379463196,0.55,0.25,0.2
183,0.7905905842781067,0.55,0.3,0.15
184,0.7893415689468384,0.55,0.35,0.1
185,0.7882842421531677,0.55,0.4,0.05
186,0.7855240702629089,0.55,0.45,0.0
187,0.784062922000885,0.6,0.0,0.4
188,0.7857150435447693,0.6,0.05,0.35
189,0.7859709858894348,0.6,0.1,0.3
190,0.7882285714149475,0.6,0.15,0.25
191,0.7880257964134216,0.6,0.2,0.2
192,0.7867749333381653,0.6,0.25,0.15
193,0.7887851595878601,0.6,0.3,0.1
194,0.7872996926307678,0.6,0.35,0.05
195,0.7849573493003845,0.6,0.4,0.0
196,0.7826722860336304,0.65,0.0,0.35
197,0.7841407656669617,0.65,0.05,0.3
198,0.7861471772193909,0.65,0.1,0.25
199,0.7859787940979004,0.65,0.15,0.2
200,0.785223662853241,0.65,0.2,0.15
201,0.786541759967804,0.65,0.25,0.1
202,0.7873710989952087,0.65,0.3,0.05
203,0.7841509580612183,0.65,0.35,0.0
204,0.7815278768539429,0.7,0.0,0.3
205,0.7831017971038818,0.7,0.05,0.25
206,0.7840560078620911,0.7,0.1,0.2
207,0.7847593426704407,0.7,0.15,0.15
208,0.7856588959693909,0.7,0.2,0.1
209,0.7850492596626282,0.7,0.25,0.05
210,0.7834546566009521,0.7,0.3,0.0
211,0.7800545692443848,0.75,0.0,0.25
212,0.7816187143325806,0.75,0.05,0.2
213,0.7826710939407349,0.75,0.1,0.15
214,0.7838099002838135,0.75,0.15,0.1
215,0.7842517495155334,0.75,0.2,0.05
216,0.7829000949859619,0.75,0.25,0.0
217,0.7789310216903687,0.8,0.0,0.2
218,0.7808204293251038,0.8,0.05,0.15
219,0.7816275954246521,0.8,0.1,0.1
220,0.7831604480743408,0.8,0.15,0.05
221,0.7828111052513123,0.8,0.2,0.0
222,0.7794071435928345,0.85,0.0,0.15
223,0.7811214327812195,0.85,0.05,0.1
224,0.7824704647064209,0.85,0.1,0.05
225,0.7818014621734619,0.85,0.15,0.0
226,0.7776750326156616,0.9,0.0,0.1
227,0.7795660495758057,0.9,0.05,0.05
228,0.7798143625259399,0.9,0.1,0.0
229,0.7761361598968506,0.95,0.0,0.05
230,0.7778022289276123,0.95,0.05,0.0
231,0.7748921513557434,1.0,0.0,0.0
